epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6777.64,1.94931,2.60647,1.98435,0.29708,0.28937,0.22227,0.07328,2.28316,2.8907,2.42314,0.000665434,0.000665434,0.000665434
2,8934.29,1.94328,2.32964,2.00899,0.22255,0.21617,0.13551,0.04645,2.31488,3.52891,2.47243,0.00130573,0.00130573,0.00130573
3,11194.4,1.92242,2.24992,1.98905,0.45869,0.35902,0.36497,0.13509,2.13679,2.44349,2.28654,0.00191962,0.00191962,0.00191962
4,13363.1,1.88025,2.19358,1.95547,0.47687,0.36701,0.36976,0.13877,2.10802,2.3654,2.23119,0.0018812,0.0018812,0.0018812
5,15461.4,1.84964,2.13986,1.94257,0.50579,0.43045,0.42364,0.17159,1.98058,2.0732,2.08027,0.0018416,0.0018416,0.0018416
6,33202.3,1.82742,2.06632,1.92015,0.51522,0.4355,0.44043,0.17524,2.03816,2.06658,2.15088,0.001802,0.001802,0.001802
7,41690.3,1.78999,1.98303,1.89704,0.51457,0.41964,0.42125,0.15604,2.05523,2.09411,2.19853,0.0017624,0.0017624,0.0017624
8,44418.3,1.77405,1.96408,1.86684,0.6014,0.4516,0.50491,0.21187,1.98315,1.86532,2.07298,0.0017228,0.0017228,0.0017228
9,46400,1.75794,1.88936,1.84499,0.58901,0.49107,0.52424,0.22633,1.93226,1.89529,2.03717,0.0016832,0.0016832,0.0016832
10,48211.2,1.74171,1.85193,1.84086,0.59438,0.50235,0.52736,0.22572,1.91641,1.85509,2.02807,0.0016436,0.0016436,0.0016436
11,49928.6,1.7433,1.83923,1.84116,0.63612,0.50564,0.56243,0.23614,1.93491,1.76668,2.04008,0.001604,0.001604,0.001604
